"","descr","svcdate","cost","taxnbv","deprmeth","life","propno","group","yearsinsvc","remyears","expreason","type"
"457","120_a/c units                                ","8/20/2010",423.28,371.34,"S/L",27.5,"120","Equipment",3.37,24.13,"None","hvac"
"458","120_ranges                                   ","8/23/2010",913.86,78.95,"200DB",5,"120","Equipment",3.36,1.64,"None","range"
"459","120_washer &dryer                            ","8/23/2010",773.26,66.81,"200DB",5,"120","Equipment",3.36,1.64,"None","dryer"
"460","120_refrigerator &icemaker                   ","8/17/2010",1232.18,106.46,"200DB",5,"120","Equipment",3.38,1.62,"None","refrigerator"
"461","120_a/c unit                                 ","9/22/2010",289.46,254.8,"S/L",27.5,"120","Equipment",3.28,24.22,"None","hvac"
"464","120_refrigerators                            ","9/1/2010",1024.43,88.51,"200DB",5,"120","Equipment",3.33,1.67,"None","refrigerator"
"465","120_dishwasher                               ","9/1/2010",918,79.31,"200DB",5,"120","Equipment",3.33,1.67,"None","dishwasher"
"466","120_supervison                               ","9/30/2010",372.2,327.66,"S/L",27.5,"120","Capital Improvements",3.25,24.25,"None","supervision"
"467","120_concrete foundations                     ","9/14/2010",3722,3276.47,"S/L",27.5,"120","Capital Improvements",3.3,24.2,"None","foundation"
"472","120_plumbing                                 ","10/18/2010",1000,883.34,"S/L",27.5,"120","Capital Improvements",3.21,24.29,"None","plumbing"
"476","120_supervision                              ","11/30/2010",900,797.72,"S/L",27.5,"120","Capital Improvements",3.09,24.41,"None","supervision"
"477","120_water distribution                       ","11/29/2010",9000,7977.28,"S/L",27.5,"120","Capital Improvements",3.09,24.41,"None","water heater"
"480","120_supervision                              ","12/31/2010",140,124.52,"S/L",27.5,"120","Capital Improvements",3,24.5,"repair below $200","supervision"
"481","120_wood stair                               ","12/22/2010",1399.9,1245.05,"S/L",27.5,"120","Capital Improvements",3.03,24.47,"None","stairs"
"484","120_field supervision                        ","1/18/2011",489.97,437.26,"S/L",27.5,"120","Capital Improvements",2.95,24.55,"None","supervision"
"487","120_field supervision                        ","2/1/2011",482.48,432.05,"S/L",27.5,"120","Capital Improvements",2.92,24.58,"None","supervision"
"494","120_a/c unit                                 ","3/7/2011",324.6,291.66,"S/L",27.5,"120","Equipment",2.82,24.68,"None","hvac"
"499","120_field supervision                        ","4/11/2011",488.62,440.49,"S/L",27.5,"120","Capital Improvements",2.73,24.77,"None","supervision"
"501","120_a/c units                                ","4/14/2011",1209.43,1090.32,"S/L",27.5,"120","Equipment",2.72,24.78,"None","hvac"
"506","field supervision                            ","5/1/2011",221.85,200.67,"S/L",27.5,"120","Capital Improvements",2.67,24.83,"None","supervision"
"507","construction travel                          ","5/1/2011",55.08,49.83,"S/L",27.5,"120","Capital Improvements",2.67,24.83,"repair below $200","supervision"
"508","supervision                                  ","5/1/2011",399.5,361.36,"S/L",27.5,"120","Capital Improvements",2.67,24.83,"None","supervision"
"509","exterior siding-bldg #4/#2324 chimney        ","5/1/2011",3718,3363.1,"S/L",27.5,"120","Capital Improvements",2.67,24.83,"None","siding"
"513","hvac units                                   ","6/1/2011",1244.62,1129.58,"S/L",27.5,"120","Capital Improvements",2.59,24.91,"None","None"
"514","construction travel                          ","6/1/2011",9.18,8.34,"S/L",27.5,"120","Capital Improvements",2.59,24.91,"repair below $200","supervision"
"515","supervision                                  ","6/1/2011",4812.31,4367.54,"S/L",27.5,"120","Capital Improvements",2.59,24.91,"None","supervision"
"516","200 toilets                                  ","6/1/2011",29737.35,26988.89,"S/L",27.5,"120","Capital Improvements",2.59,24.91,"None","toilets"
"517","exterior siding                              ","6/1/2011",10397,9436.07,"S/L",27.5,"120","Capital Improvements",2.59,24.91,"None","siding"
"518","exterior painting-bldg #4                    ","6/1/2011",4600,4174.85,"S/L",27.5,"120","Capital Improvements",2.59,24.91,"None","painting"
"525","air conditioning & heat                      ","7/1/2011",4454.02,4055.87,"S/L",27.5,"120","Capital Improvements",2.5,25,"None","HVAC"
"526","supervision                                  ","7/1/2011",3.9,3.55,"S/L",27.5,"120","Capital Improvements",2.5,25,"repair below $200","supervision"
"527","20 shower arms                               ","7/1/2011",38.97,35.48,"S/L",27.5,"120","Capital Improvements",2.5,25,"repair below $200","None"
"531","air conditioning & heat                      ","8/1/2011",4229.45,3864.18,"S/L",27.5,"120","Capital Improvements",2.42,25.08,"None","HVAC"
"532","construction travel                          ","8/1/2011",35.7,32.61,"S/L",27.5,"120","Capital Improvements",2.42,25.08,"repair below $200","supervision"
"533","supervision                                  ","8/1/2011",135.03,123.37,"S/L",27.5,"120","Capital Improvements",2.42,25.08,"repair below $200","supervision"
"534","plumbing-apt-roll off charges                ","8/1/2011",1314.6,1201.07,"S/L",27.5,"120","Capital Improvements",2.42,25.08,"None","plumbing"
"540","field supervision                            ","9/1/2011",221.85,203.36,"S/L",27.5,"120","Capital Improvements",2.33,25.17,"None","supervision"
"541","air conditioning & heat                      ","9/1/2011",511.19,468.59,"S/L",27.5,"120","Capital Improvements",2.33,25.17,"None","HVAC"
"542","construction travel                          ","9/1/2011",24.48,22.44,"S/L",27.5,"120","Capital Improvements",2.33,25.17,"repair below $200","supervision"
"543","supervision                                  ","9/1/2011",24.63,22.57,"S/L",27.5,"120","Capital Improvements",2.33,25.17,"repair below $200","supervision"
"547","field supervision                            ","10/1/2011",221.85,204.03,"S/L",27.5,"120","Capital Improvements",2.25,25.25,"None","supervision"
"548","construction travel                          ","10/1/2011",34.68,31.9,"S/L",27.5,"120","Capital Improvements",2.25,25.25,"repair below $200","supervision"
"549","supervision                                  ","10/1/2011",25.65,23.6,"S/L",27.5,"120","Capital Improvements",2.25,25.25,"repair below $200","supervision"
"556","air conditioning & heat                      ","11/1/2011",510.65,471.19,"S/L",27.5,"120","Capital Improvements",2.17,25.33,"None","HVAC"
"557","major plumbing replacements                  ","11/1/2011",2460,2269.92,"S/L",27.5,"120","Capital Improvements",2.17,25.33,"None","plumbing"
"558","construction travel                          ","11/1/2011",55.08,50.83,"S/L",27.5,"120","Capital Improvements",2.17,25.33,"repair below $200","supervision"
"559","supervision                                  ","11/1/2011",5.5,5.07,"S/L",27.5,"120","Capital Improvements",2.17,25.33,"repair below $200","supervision"
"565","supervision                                  ","12/1/2011",129.9,120.26,"S/L",27.5,"120","Capital Improvements",2.08,25.42,"repair below $200","supervision"
"566","plumbing-apt int                             ","12/1/2011",1299,1202.55,"S/L",27.5,"120","Capital Improvements",2.08,25.42,"None","plumbing"
"570","air conditioning & heat                      ","10/1/2012",518.52,495.73,"S/L",27.5,"120","Capital Improvements",1.25,26.25,"None","HVAC"
"571","air conditioning & heat                      ","9/1/2012",518.51,494.16,"S/L",27.5,"120","Capital Improvements",1.33,26.17,"None","HVAC"
"572","air conditioning & heat                      ","8/1/2012",1069.51,1016.04,"S/L",27.5,"120","Capital Improvements",1.42,26.08,"None","HVAC"
"573","air conditioning & heat                      ","7/1/2012",3143.59,2976.89,"S/L",27.5,"120","Capital Improvements",1.5,26,"None","HVAC"
"574","air conditioning & heat                      ","6/1/2012",1460.72,1378.83,"S/L",27.5,"120","Capital Improvements",1.58,25.92,"None","HVAC"
"575","air conditioning & heat                      ","5/1/2012",1037.01,975.73,"S/L",27.5,"120","Capital Improvements",1.67,25.83,"None","HVAC"
"576","air conditioning & heat                      ","4/1/2012",1162.2,1090,"S/L",27.5,"120","Capital Improvements",1.75,25.75,"None","HVAC"
"577","air conditioning & heat                      ","3/1/2012",1203.45,1125.05,"S/L",27.5,"120","Capital Improvements",1.84,25.66,"None","HVAC"
"578","basic electrical-apt int                     ","10/1/2012",457.63,437.52,"S/L",27.5,"120","Capital Improvements",1.25,26.25,"None","electrical"
"579","communications alarms-office                 ","7/1/2012",2030.77,1923.07,"S/L",27.5,"120","Capital Improvements",1.5,26,"None","office"
"580","concrete masonry units                       ","7/1/2012",10337.4,9789.2,"S/L",27.5,"120","Capital Improvements",1.5,26,"None","None"
"581","construction travel                          ","12/1/2012",14.43,13.89,"S/L",27.5,"120","Capital Improvements",1.08,26.42,"repair below $200","supervision"
"582","construction travel                          ","10/1/2012",128.77,123.11,"S/L",27.5,"120","Capital Improvements",1.25,26.25,"repair below $200","supervision"
"583","construction travel                          ","9/1/2012",80.48,76.7,"S/L",27.5,"120","Capital Improvements",1.33,26.17,"repair below $200","supervision"
"584","construction travel                          ","8/1/2012",111,105.45,"S/L",27.5,"120","Capital Improvements",1.42,26.08,"repair below $200","supervision"
"585","construction travel                          ","7/1/2012",108.23,102.49,"S/L",27.5,"120","Capital Improvements",1.5,26,"repair below $200","supervision"
"586","construction travel                          ","6/1/2012",56.06,52.92,"S/L",27.5,"120","Capital Improvements",1.58,25.92,"repair below $200","supervision"
"587","construction travel                          ","4/1/2012",153.18,143.66,"S/L",27.5,"120","Capital Improvements",1.75,25.75,"repair below $200","supervision"
"588","construction travel                          ","3/1/2012",71.04,66.41,"S/L",27.5,"120","Capital Improvements",1.84,25.66,"repair below $200","supervision"
"589","construction travel                          ","2/1/2012",32.5,30.29,"S/L",27.5,"120","Capital Improvements",1.92,25.58,"repair below $200","supervision"
"590","construction travel                          ","1/1/2012",40,37.16,"S/L",27.5,"120","Capital Improvements",2,25.5,"repair below $200","supervision"
"591","exterior painting                            ","11/1/2012",29488.51,28282.16,"S/L",27.5,"120","Capital Improvements",1.16,26.34,"None","painting"
"592","exterior painting                            ","10/1/2012",35016.3,33477.71,"S/L",27.5,"120","Capital Improvements",1.25,26.25,"None","painting"
"593","exterior painting                            ","7/1/2012",541.25,512.55,"S/L",27.5,"120","Capital Improvements",1.5,26,"None","painting"
"594","exterior siding                              ","11/1/2012",945,906.34,"S/L",27.5,"120","Capital Improvements",1.16,26.34,"None","siding"
"595","exterior siding                              ","10/1/2012",18056.26,17262.88,"S/L",27.5,"120","Capital Improvements",1.25,26.25,"None","siding"
"596","exterior siding                              ","9/1/2012",95969.12,91461.48,"S/L",27.5,"120","Capital Improvements",1.33,26.17,"None","siding"
"597","exterior siding                              ","8/1/2012",139502.04,132526.94,"S/L",27.5,"120","Capital Improvements",1.42,26.08,"None","siding"
"598","exterior siding                              ","7/1/2012",38519.37,36476.68,"S/L",27.5,"120","Capital Improvements",1.5,26,"None","siding"
"599","air conditioning & heat                      ","5/1/2013",1050.4,1026.53,"S/L",27.5,"120","Capital Improvements",0.67,26.83,"None","HVAC"
"600","air conditioning & heat                      ","10/1/2013",1058.68,1050.66,"S/L",27.5,"120","Capital Improvements",0.25,27.25,"None","HVAC"
"601","air conditioning & heat                      ","8/1/2013",1058.69,1044.25,"S/L",27.5,"120","Capital Improvements",0.42,27.08,"None","HVAC"
"602","air conditioning & heat                      ","4/1/2013",1184.37,1153.86,"S/L",27.5,"120","Capital Improvements",0.75,26.75,"None","HVAC"
"603","air conditioning & heat                      ","7/1/2013",1584.3,1557.9,"S/L",27.5,"120","Capital Improvements",0.5,27,"None","HVAC"
"604","air conditioning & heat                      ","6/1/2013",2294.97,2249.77,"S/L",27.5,"120","Capital Improvements",0.58,26.92,"None","HVAC"
"605","appliances                                   ","9/1/2013",1901.96,760.78,"200DB",5,"120","Furniture & Fixtures",0.33,4.67,"None","appliances"
"606","appliances                                   ","5/1/2013",6676.87,2670.74,"200DB",5,"120","Furniture & Fixtures",0.67,4.33,"None","appliances"
"607","appliances                                   ","10/1/2013",6952.33,2780.93,"200DB",5,"120","Furniture & Fixtures",0.25,4.75,"None","appliances"
"608","appliances                                   ","12/1/2013",8608.47,3443.39,"200DB",5,"120","Furniture & Fixtures",0.08,4.92,"None","appliances"
"609","communications alarms-office                 ","11/1/2013",12613.66,12556.33,"S/L",27.5,"120","Capital Improvements",0.16,27.34,"None","office"
"610","concrete sidewalks                           ","8/1/2013",7613,3616.17,"150DB",15,"120","Land Improvements",0.42,14.58,"None","sidewalks"
"611","landscaping improvements                     ","12/1/2013",8884.82,4220.29,"150DB",15,"120","Land Improvements",0.08,14.92,"None","landscaping"
"612","lighting & fixtures-apt int                  ","9/1/2013",3490.89,3453.87,"S/L",27.5,"120","Capital Improvements",0.33,27.17,"None","lighting"
"613","lighting & fixtures-apt int                  ","1/1/2013",4119.98,3976.4,"S/L",27.5,"120","Capital Improvements",1,26.5,"None","lighting"
"614","lighting & fixtures-apt int                  ","10/1/2013",4769.29,4733.16,"S/L",27.5,"120","Capital Improvements",0.25,27.25,"None","lighting"
"615","lighting & fixtures-apt int                  ","7/1/2013",6136.21,6033.94,"S/L",27.5,"120","Capital Improvements",0.5,27,"None","lighting"
"616","lighting & fixtures-apt int                  ","2/1/2013",6693.53,6480.55,"S/L",27.5,"120","Capital Improvements",0.91,26.59,"None","lighting"
