"","descr","svcdate","cost","taxnbv","deprmeth","life","propno","group","yearsinsvc","remyears","expreason","type"
"3095","range/ventahood                              ","4/1/2012",486.13,116.67,"200DB",5,"180","Furniture & Fixtures",1.75,3.25,"None","range"
"3096","range/ventahood                              ","3/1/2012",502.3,120.55,"200DB",5,"180","Furniture & Fixtures",1.84,3.16,"None","range"
"3097","range/ventahood                              ","1/1/2012",1657.04,397.69,"200DB",5,"180","Furniture & Fixtures",2,3,"None","range"
"3098","refrigerator- proj 40                        ","1/1/2012",500.76,120.18,"200DB",5,"180","Furniture & Fixtures",2,3,"None","refrigerator"
"3099","refrigerator/icemaker                        ","9/1/2012",1185.53,284.53,"200DB",5,"180","Furniture & Fixtures",1.33,3.67,"None","refrigerator"
"3100","refrigerator/icemaker                        ","8/1/2012",523.95,125.75,"200DB",5,"180","Furniture & Fixtures",1.42,3.58,"None","refrigerator"
"3101","refrigerator/icemaker                        ","7/1/2012",1730.35,415.28,"200DB",5,"180","Furniture & Fixtures",1.5,3.5,"None","refrigerator"
"3102","refrigerator/icemaker                        ","6/1/2012",577.45,138.59,"200DB",5,"180","Furniture & Fixtures",1.58,3.42,"None","refrigerator"
"3103","refrigerator/icemaker                        ","1/1/2012",2235.2,536.45,"200DB",5,"180","Furniture & Fixtures",2,3,"None","refrigerator"
"3104","refrigerators- proj 40                       ","1/1/2012",7953.15,1908.76,"200DB",5,"180","Furniture & Fixtures",2,3,"None","refrigerator"
